trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.8814479033836181}",30,0,-221.24250517683961,"{0: 15, 1: 4, 2: 6, 3: 2, 4: 3}",0
43,False,"{'a': 0.5, 'e': 0.8788035596734672}",20,0,-116.39091216895073,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.8761671489944468}",30,20,-3.455770186590015,"{0: 7, 1: 3, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.8735386475474635}",25,0,-148.7582741747706,"{0: 12, 1: 4, 2: 5, 3: 3, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.8709180316048211}",30,19,-19.779861787381094,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.8683052775100066}",30,16,-68.0472325097439,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 2}",1
48,False,"{'a': 0.5, 'e': 0.8657003616774767}",20,0,-143.62179264830655,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
49,False,"{'a': 0.5, 'e': 0.8631032605924442}",25,0,-106.78027143089295,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.860513950810667}",20,3,-100.19706646356485,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 2}",1
51,False,"{'a': 0.5, 'e': 0.857932408958235}",20,0,-88.07678338715718,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.8553586117313603}",25,0,-96.49516451117009,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.8527925358961662}",20,0,-95.87209102364865,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.8502341582884777}",20,0,-100.82903628995209,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.8476834558136123}",25,9,-7.064548758298707,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.8451404054461714}",25,2,-109.05797979587305,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 1}",1
57,False,"{'a': 0.5, 'e': 0.8426049842298329}",30,0,-188.60097871886936,"{0: 16, 1: 2, 2: 8, 3: 2, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.8400771692771434}",20,0,-67.59086851383108,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.837556937769312}",20,0,-32.42549296723476,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.835044266956004}",25,10,-31.149326161974724,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
61,False,"{'a': 0.5, 'e': 0.8325391341551359}",20,0,-146.2742704391363,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
62,False,"{'a': 0.5, 'e': 0.8300415167526705}",20,8,-49.7344194583243,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
63,False,"{'a': 0.5, 'e': 0.8275513922024125}",20,0,-83.82234002772343,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.8250687380258053}",25,0,-131.98371479488472,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.8225935318117279}",20,0,-95.93191872313088,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.8201257512162927}",25,0,-124.11754768293657,"{0: 13, 1: 3, 2: 6, 3: 3, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.8176653739626438}",30,2,-112.0610581006006,"{0: 19, 1: 3, 2: 4, 3: 0, 4: 2}",1
68,False,"{'a': 0.5, 'e': 0.8152123778407558}",20,0,-8.355657907505684,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.8127667407072335}",20,0,-119.72291192845115,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
70,False,"{'a': 0.5, 'e': 0.8103284404851119}",25,0,-100.07175982538752,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.8078974551636565}",20,0,-60.53560948080899,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.8054737627981655}",30,10,-64.99500326361968,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",1
73,False,"{'a': 0.5, 'e': 0.803057341509771}",25,0,-108.66324543295751,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.8006481694852418}",20,0,-54.364703888250624,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.798246224976786}",30,0,-121.24011731893859,"{0: 22, 1: 3, 2: 1, 3: 2, 4: 2}",0
76,False,"{'a': 0.5, 'e': 0.7958514863018556}",25,0,-95.68440786978677,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
77,False,"{'a': 0.5, 'e': 0.79346393184295}",25,0,-89.94279939381843,"{0: 17, 1: 0, 2: 5, 3: 3, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.7910835400474212}",25,18,-0.9111682156551679,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.7887102894272789}",25,0,-33.91211089558852,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.7863441585589971}",25,0,-118.2831198254077,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
81,False,"{'a': 0.5, 'e': 0.78398512608332}",20,0,-14.02217550726822,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
